모듈명,역할,입력,출력,관련 기술,관련 화면,담당자,MVP 여부,선택,비고
VS Code Extension UI 모듈,"사용자 액션을 받고 현재 작업 상태, 스냅샷 목록, 충돌 후보, AI 결과를 표시,  최근 자동 스냅샷 삭제 요청 처리","Git 상태 정보, 스냅샷 목록, 삭제 가능 여부, 충돌 후보, AI 결과, 정적 분석 결과","AI 작업 실행 요청, 원복 요청, 최근 스냅샷 삭제 요청, 병합 분석 요청, 최종 반영 요청","VS Code Extension API, Tree View, Webview","메인 작업 화면, 스냅샷 이력 확인 화면, 원복 확인 화면, 최근 스냅샷 삭제 확인 UI, 충돌 후보 분석 결과 화면, AI 병합 초안 검토 화면",이현석,O,핵심 기능,상세 비교 화면은 Webview 중심
Git 상태 수집 모듈,"현재 브랜치, 변경 파일, 수정 위치, diff 정보 수집","사용자 작업 디렉토리, 비교 대상 브랜치","Git 상태 객체, 변경 파일 목록, diff 정보",git CLI,"메인 작업 화면, 충돌 후보 분석 결과 화면","강찬휘, 김경원",O,핵심 기능,"로컬 Git 기준, 스냅샷 생성 및 삭제 전후 기준 상태 확인에 활용"
Snapshot 관리 모듈,"AI 작업 직전 자동 스냅샷 생성, 스냅샷 목록 관리, 특정 시점 원복, 가장 최근 자동 스냅샷 1건 삭제 처리, 삭제 후 원복 가능 상태 갱신","현재 Git 상태, 작업 ID, 작업 설명, 최근 스냅샷 삭제 요청","스냅샷 ID, 스냅샷 메타데이터, 원복 결과, 삭제 결과, 갱신된 스냅샷 목록 상태","JSON, patch/diff 파일 저장","스냅샷 생성/이력 확인 화면, 원복 확인 화면","신형섭, 강찬휘, 김경원",O,핵심 기능,"Git 공식 커밋 이력과 분리, 최신 자동 스냅샷 1건에 한해 삭제 허용"
변경 기록 관리 모듈,"AI 작업 단위별 변경 파일, 수정 위치, 작업 설명 저장 및 조회","작업 결과, 수정 파일 정보, 작업 설명","변경 기록 ID, 관련 기록 목록",JSON 기반 로컬 메타데이터 저장,AI 병합 초안 검토 화면,"남주완, 허서연, 강찬휘, 김경원",O,핵심 기능,병합 분석 시 컨텍스트 구성용
충돌 분석 모듈,병합 전 충돌 후보 구간 탐지,"현재 브랜치 diff, 비교 대상 브랜치 diff, 변경 기록","충돌 후보 목록, 위험 구간, 관련 파일 정보","diff 비교 로직, 범위 분석",충돌 후보 분석 결과 화면,"강찬휘, 김경원",O,핵심 기능,직접 충돌 + 일부 간접 충돌 후보까지
AI 호출 모듈,"충돌 후보와 관련 변경 기록을 바탕으로 병합 초안 및 중재안 생성, 커밋 메시지/브랜치명/PR 설명 추천","충돌 후보 구간, 관련 변경 기록, 코드/diff 일부, 작업 설명","병합 초안, 중재안 설명, 검토 포인트",외부 LLM API 연동,AI 병합 초안 검토 화면,"남주완, 허서연",O,핵심 기능,"프롬프트/출력 구조 분리 필요, 병합 초안 생성과 협업 텍스트 추천 기능을 함께 담당하며, 입력 컨텍스트와 출력 형식을 분리 관리 필요"
정적 분석 모듈,AI 생성 결과의 최소 구조 안정성 검증,"병합 초안 결과, 수정 파일","오류 여부, 경고 목록, 분석 결과","TypeScript Compiler API, ESLint",AI 병합 초안 검토 화면,"강찬휘, 김경원",O,핵심 기능,데모 언어 기준 최소 검증
브랜치 정리 모듈,"로컬 브랜치 목록 조회, 정리 후보 표시, 사용자 선택 기반 삭제 수행","현재 브랜치 정보, 로컬 브랜치 목록, 사용자 선택 대상","정리 대상 브랜치 목록, 삭제 실행 결과",git CLI,메인 작업 화면 또는 브랜치 정리 화면,"강찬휘, 김경원",O,부가 기능,현재 체크아웃 중인 브랜치는 삭제 제외 / 병합되지 않은 브랜치 삭제 시 사용자 확인 필요
